experiment,Temp,H2SO4,HBA_Conc,IPA,time,A,B,C,D,E,F,G,H,L,J
6,84,5.792064,0.9,2.200046429,600,0.005199387,0.003917003,0.010524714,0.001078837,0.000201184,0.074799341,0.002279514,0.001916595,0.003570827,0.000457825
6,84,5.792064,0.9,2.210249545,900,0.001605033,0.004026589,0.004736652,0.00106593,0,0.076056884,0,0,0.006585266,0.000452348
6,84,5.792064,0.9,2.225222919,1200,0,0.004651339,0.004051066,0.000860911,0,0.068600615,0,0,0.009386731,0.000365345
8,79,5.611062,0.9,2.262525338,0,0.181002027,0,0,0,0,0,0,0,0,0
8,79,5.611062,0.9,2.202868363,180,0.116442768,0.000830917,0.011948401,0.003303744,0.007928011,0.014364188,0.00340709,0.002864652,0,0.001402008
8,79,5.611062,0.9,2.176661419,300,0.084470769,0.001198201,0.016055211,0.005704324,0.014596198,0.019841644,0.004777007,0.004016466,0.000448059,0.002420741
8,79,5.611062,0.9,2.119251329,450,0.03291247,0.002037508,0.030993677,0.002264781,0.007622806,0.038464639,0.00856358,0.007200184,0.001915956,0.000961104
8,79,5.611062,0.9,2.103869148,600,0.017184765,0.002297275,0.029744689,0.001458945,0.003003516,0.050742564,0.007375194,0.006200999,0.002383719,0.000619132
8,79,5.611062,0.9,2.093878216,900,0.006249095,0.002931975,0.017090433,0.001185052,0.000533626,0.069018327,0.003351478,0.002817894,0.003026957,0.0005029
8,79,5.611062,0.9,2.08942174,1200,0.002482327,0.00376537,0.007594038,0.001279465,7.73E-05,0.07876307,0.00138025,0.001160502,0.003126347,0.000542966
9,78,3.801042,0.9,2.570228783,0,0.181002027,0,0,0,0,0,0,0,0,0
9,78,3.801042,0.9,2.530547455,180,0.13523282,0.000561854,0.007521172,0.003082725,0.007848617,0.008889595,0.001990165,0.001673314,0,0.001308214
9,78,3.801042,0.9,2.517193586,300,0.120183213,0.000645607,0.007308179,0.004266088,0.010996265,0.011487818,0.00370317,0.003113593,0,0.001810397
9,78,3.801042,0.9,2.489438864,450,0.085306241,0.000779028,0.011246281,0.007922903,0.020285712,0.015651742,0.005725138,0.004813646,0.000357276,0.003362238
